NAME,GSCHOLSEARCH,WOSSEARCH,SCOPSEARCH,MENDSEARCH,WORLDCAT,PUBMED,PAPERI,INSTACC,PAYVIEW,RGATEACCESS,RES4LIFE,OABUT,DEEPDYVE,MAILAUTH,GSCHOLALERT,JRNLTOCS,BROWZINE,MENDALERT,F1000PRI,SPARRHO,RGATEALERT,ACROBAT,HTMLVIEW,IANNOTATE,READCUBE,UTOPDOCS,MENDREAD,HYPOTHES,RTOOL,SPSS,MATLAB,EXCEL,IPYTHON,ROPENSCI,DHBOX,OPSCIFRAM,MYEXP,BENCHLING,PROTOCIO,BENCHFLY,SCIPROT,PROTOCONL,WORD,GTDRIVE,AUTHOREA,LATEX,SCRIVEN,OVERLEAF,SCALAR,ENDNOTE,ZOTERO,REFWORKS,MENDREF,PAPERS,REFME,CITAVI,ARXIV,PMC,INREP,BIORXIV,WORKPAP,RGATESHAREPUB,SSRN,GITHUB,FIGSDATA,ZENODATA,DRYAD,DATAVERSE,PANGAEA,BITBUCK,JCRIFSEL,DOAJ,SCOPSEL,SHERPAROM,QOAM,SCIMAGO,JOURNALYS,JTOPTRAD,JTOPOA,MEGATRAD,MEGAOA,DATAJRNL,WINNOWER,F1000RES,SPEAKER,SLIDSHA,F1000POS,SCIOPPO,FIGSPOST,ZENOPOST,VIMEO,WIKIPEDIA,RESBLOG,WORDPRESS,KUDOS,FAMELAB,PINTSCI,TWITTER,SCHOLARCIT,RGATEPROF,ORCID,ACADEMIA,RESID,INSTPAGE,MYSCIWORK,PERRSCI,PUBLONS,PMCCOMMONS,PUBPEER,PAPARCRIT,RUBRIQ,KARMA,JCRIFIMP,ALTMETRIC,SCOPID,IMPSTOR,PLOSALM,WOSIMP,HARZPOP
MYEXP,0,0,0,0,0,0,0,-1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
BENCHLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROTOCIO,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,NA,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BENCHFLY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
SCIPROT,0,1,1,0,0,1,0,-1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,NA,1,1,0,0,-1,0,0,1,1,-1,1,0,1,1,0,0,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
PROTOCONL,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,NA,1,0,0,-1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
WORD,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,-1,1,-1,1,-1,0,0,1,0,0,0,0,1,1,NA,1,-1,-1,0,-1,0,1,0,1,0,0,0,0,-1,1,0,-1,0,1,0,-1,1,0,1,1,1,-1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
GTDRIVE,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,NA,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,-1,1,1,1,0,1,0,-1,1,1,1,1,1,1,0,1,0,-1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1
AUTHOREA,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,-1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,-1,1,NA,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
LATEX,1,0,0,1,-1,-1,-1,1,-1,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,1,0,1,-1,1,-1,1,1,0,0,0,0,0,0,-1,-1,-1,0,1,NA,0,1,0,-1,0,-1,1,0,0,0,1,-1,0,1,0,-1,0,1,-1,0,-1,-1,0,1,0,-1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,-1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
SCRIVEN,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,-1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
OVERLEAF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0,1,0,1,1,1,1,-1,1,-1,1,1,0,0,0,0,0,0,0,0,-1,1,1,1,0,NA,1,-1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
SCALAR,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,NA,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
ENDNOTE,-1,1,1,-1,0,1,0,0,1,1,0,1,0,0,0,1,0,-1,1,0,1,1,0,0,1,0,-1,0,-1,1,0,1,-1,0,0,1,1,0,0,0,1,1,1,0,0,-1,0,-1,0,NA,-1,-1,-1,-1,0,-1,-1,1,0,0,-1,1,0,-1,1,0,0,1,1,-1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ZOTERO,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,-1,0,1,1,0,0,0,0,0,0,0,-1,0,0,1,1,0,1,0,1,-1,NA,0,0,-1,0,0,1,0,1,0,0,-1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
REFWORKS,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,-1,0,-1,1,0,1,-1,0,0,1,0,0,0,1,1,0,1,1,0,-1,0,0,1,-1,0,NA,-1,-1,1,-1,0,0,1,0,0,0,1,-1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
MENDREF,1,1,1,1,0,0,0,0,-1,1,0,1,0,0,0,0,1,1,0,1,1,-1,-1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,-1,0,-1,NA,-1,0,-1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,-1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1
PAPERS,0,0,0,-1,0,0,1,-1,1,0,1,0,1,0,1,1,0,0,1,0,0,-1,0,1,0,1,-1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,-1,-1,-1,-1,NA,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
REFME,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,NA,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
CITAVI,0,0,-1,-1,1,-1,1,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,-1,-1,-1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ARXIV,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,1,0,0,1,0,0,-1,-1,0,0,0,1,1,1,1,-1,1,-1,1,1,0,0,0,0,0,1,0,0,-1,0,1,1,0,1,1,-1,1,0,1,1,0,0,NA,0,0,1,0,-1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,-1,1,-1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
PMC,-1,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,NA,-1,1,-1,0,-1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,-1,0,0,0,-1,0,1,1,0,0,0,1,1,0,1,1,0,0
INREP,1,1,1,1,1,-1,0,1,0,-1,0,1,0,1,1,1,1,1,0,0,-1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,-1,NA,0,-1,-1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-1,0,1,0,0,0,1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
BIORXIV,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,1,1,1,1,1,-1,0,-1,1,1,1,0,1,1,1,1,0,0,-1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,NA,0,-1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,-1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,-1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
WORKPAP,0,-1,0,0,0,-1,1,0,1,-1,0,0,0,1,1,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,-1,0,NA,-1,1,0,0,0,0,1,0,0,-1,0,0,0,1,0,1,0,-1,0,-1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,-1,0,-1,-1,0,0,1,1,1,-1,0,0,1,0,0,0,0,1,0,0,-1,0
RGATESHAREPUB,1,1,1,1,-1,1,0,0,0,1,0,1,0,1,-1,0,-1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,-1,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,0,1,-1,0,1,0,0,0,-1,0,-1,-1,-1,NA,0,0,0,0,0,0,0,0,1,-1,1,-1,0,1,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,1,1,1,-1,0,0,1,0,0,0,0,0,1,-1,1,-1,0,1,0
SSRN,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,NA,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,-1,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1
GITHUB,1,-1,-1,1,0,0,-1,1,-1,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,1,0,1,-1,1,-1,1,0,0,1,0,0,0,0,-1,0,-1,1,1,1,0,1,0,-1,1,-1,1,0,0,0,1,0,0,1,0,0,0,NA,0,0,0,-1,-1,1,0,0,0,1,0,0,0,0,1,-1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,0
FIGSDATA,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,-1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,NA,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1
ZENODATA,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,NA,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
DRYAD,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,-1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,NA,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
DATAVERSE,0,0,1,0,1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,-1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,-1,0,0,0,NA,0,-1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PANGAEA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
BITBUCK,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,0,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCRIFSEL,0,1,0,0,-1,1,0,1,-1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,-1,1,0,0,0,0,1,0,0,0,NA,-1,-1,0,0,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,1,1,0,0,0,0,1,0,-1,0,0,1,0
DOAJ,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,-1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,-1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,-1,1,0,1,1,1,1,0,0,-1,NA,1,1,1,1,0,-1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
SCOPSEL,1,1,1,1,0,-1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,-1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,NA,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,0
SHERPAROM,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,-1,-1,1,0,0,0,1,1,0,-1,-1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,-1,0,1,1,1,1,0,0,0,0,1,0,NA,0,1,-1,-1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
QOAM,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,NA,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0
SCIMAGO,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,NA,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1
JOURNALYS,0,0,0,0,0,0,1,-1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,-1,0,0,-1,1,0,NA,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,-1,-1,0,-1,0,1,1,0,0,0,1,0,1,-1,0,0,1,1,0,0
